t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,1
7,0,0,0,0,0,0.0,33,1
8,0,0,0,0,0,0.0,38,1
9,0,0,0,0,0,0.0,41,2
10,0,0,0,0,0,0.0,42,2
11,0,0,0,0,0,0.0,45,2
12,0,0,0,0,0,0.0,46,2
13,1,0,0,0,1,1.0,48,2
14,2,1,0,0,3,4.0,50,2
15,3,3,0,0,6,10.0,51,2
16,3,4,0,0,7,17.0,53,2
17,3,6,0,1,10,27.0,54,2
18,6,6,0,1,13,40.0,56,2
19,7,8,0,2,17,57.0,57,2
20,10,8,0,2,20,77.0,61,2
21,10,10,1,3,24,101.0,62,2
22,12,10,2,3,27,128.0,65,2
23,14,12,2,3,31,159.0,66,2
24,14,14,2,3,33,192.0,67,2
25,15,16,2,2,35,223.0,64,2
26,16,16,0,2,34,248.0,66,2
27,17,17,0,2,36,284.0,68,2
28,19,18,0,2,39,323.0,69,2
29,20,19,0,2,41,363.0,68,2
30,21,20,0,2,43,406.0,68,2
31,23,21,0,3,47,453.0,70,2
32,24,22,1,3,50,503.0,68,2
33,25,23,1,3,52,555.0,69,2
34,26,24,1,3,54,609.0,69,2
35,26,25,1,2,54,659.0,69,2
36,26,27,0,2,55,710.0,68,2
37,26,27,0,2,55,765.0,67,2
38,26,29,0,2,57,822.0,66,2
39,26,30,0,2,58,880.0,67,2
40,26,30,0,2,58,938.0,67,2
41,26,30,0,2,58,996.0,67,2
42,26,30,0,2,58,1054.0,67,2
43,26,30,0,2,58,1112.0,67,2
44,26,30,0,2,58,1170.0,67,2
45,26,30,0,2,58,1228.0,66,2
46,26,30,0,2,58,1286.0,65,2
47,26,30,0,2,58,1344.0,65,2
48,26,30,0,2,58,1402.0,65,2
49,26,30,0,2,58,1460.0,65,2
50,26,30,0,2,58,1518.0,65,2
