t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,1
7,0,0,0,0,0,0.0,33,1
8,0,0,0,0,0,0.0,38,1
9,0,0,0,0,0,0.0,40,2
10,0,0,0,0,0,0.0,41,2
11,0,0,0,0,0,0.0,44,2
12,0,0,0,0,0,0.0,45,2
13,0,0,0,0,0,0.0,47,2
14,2,1,0,0,3,3.0,47,2
15,2,2,0,0,4,7.0,50,2
16,4,2,0,1,7,14.0,50,2
17,4,3,0,2,9,23.0,52,2
18,5,4,0,2,11,34.0,54,2
19,7,6,0,2,15,49.0,55,2
20,8,7,0,3,18,67.0,58,2
21,10,8,0,3,21,88.0,60,2
22,12,8,1,3,24,112.0,61,2
23,12,10,1,3,26,138.0,64,2
24,14,10,1,3,28,166.0,65,2
25,15,11,1,2,29,190.0,64,2
26,16,13,1,2,32,222.0,64,2
27,18,14,1,2,35,257.0,66,2
28,19,16,1,2,38,295.0,65,2
29,21,16,0,2,39,327.0,67,2
30,21,16,0,3,40,367.0,67,2
31,22,18,0,3,43,410.0,66,2
32,24,19,0,3,46,456.0,66,2
33,26,22,0,3,51,507.0,66,2
34,26,22,0,3,51,558.0,67,2
35,26,24,0,2,52,605.0,66,2
36,26,24,0,2,52,657.0,66,2
37,26,27,0,2,55,712.0,66,2
38,26,27,0,2,55,767.0,66,2
39,26,28,0,2,56,823.0,68,2
40,26,30,0,1,57,856.0,66,2
41,26,30,0,0,56,888.0,66,2
42,26,30,0,0,56,944.0,66,2
43,26,30,0,0,56,1000.0,66,2
44,26,30,0,0,56,1056.0,65,2
45,26,30,0,0,56,1112.0,65,2
46,26,30,0,0,56,1168.0,65,2
47,26,30,0,0,56,1224.0,64,3
48,26,30,0,0,56,1280.0,64,3
49,26,30,0,0,56,1336.0,64,3
50,24,28,0,0,52,1245.0,63,0
