t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,33,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,41,0
10,0,0,0,0,0,0.0,42,0
11,0,0,0,0,0,0.0,46,0
12,0,0,0,0,0,0.0,46,0
13,0,0,0,1,1,1.0,49,0
14,0,0,1,2,3,4.0,50,0
15,0,0,2,2,4,8.0,51,0
16,1,0,4,4,9,17.0,54,0
17,1,0,4,5,10,27.0,54,0
18,2,0,5,7,14,41.0,58,0
19,2,0,7,7,16,57.0,58,0
20,4,1,8,8,21,78.0,64,0
21,5,1,8,8,22,100.0,64,0
22,4,2,8,9,23,122.0,65,0
23,5,2,8,9,24,146.0,67,0
24,5,3,8,9,25,171.0,68,0
25,5,4,9,9,27,198.0,68,0
26,7,5,9,9,30,228.0,70,0
27,8,6,9,9,32,260.0,68,0
28,8,5,9,9,31,282.0,70,0
29,9,5,10,9,33,308.0,69,0
30,9,4,10,9,32,334.0,70,0
31,10,4,10,10,34,362.0,71,0
32,11,4,10,10,35,391.0,72,0
33,11,4,10,10,35,420.0,72,0
34,12,4,10,10,36,451.0,71,1
35,12,3,10,10,35,482.0,70,1
36,12,4,10,10,36,518.0,72,1
37,13,4,8,8,33,454.0,70,2
38,10,5,6,6,27,347.0,70,2
39,8,5,4,4,21,250.0,73,2
40,7,7,2,2,18,153.0,72,2
41,6,7,0,0,13,81.0,72,2
42,6,8,0,0,14,72.0,72,2
43,5,8,0,0,13,65.0,72,2
44,6,9,1,0,16,63.0,73,2
45,7,11,2,1,21,83.0,72,2
46,8,13,2,2,25,108.0,70,2
47,11,13,3,2,29,137.0,70,2
48,12,15,4,3,34,170.0,70,2
49,12,15,4,4,35,205.0,70,2
50,13,17,4,4,38,243.0,70,2
