t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,40,0
10,0,0,0,0,0,0.0,41,0
11,0,0,0,0,0,0.0,44,0
12,0,0,0,0,0,0.0,45,0
13,0,0,0,1,1,1.0,47,0
14,0,0,1,2,3,4.0,47,0
15,1,0,2,2,5,8.0,50,0
16,1,0,3,3,7,15.0,51,0
17,1,0,4,5,10,24.0,51,0
18,2,0,6,5,13,37.0,52,0
19,2,1,6,7,16,53.0,55,0
20,2,1,8,7,18,71.0,57,0
21,3,1,8,8,20,91.0,59,0
22,4,1,8,8,21,112.0,61,0
23,5,2,8,9,24,136.0,63,0
24,5,2,9,9,25,161.0,63,0
25,6,3,9,9,27,188.0,63,0
26,7,4,9,9,29,217.0,65,0
27,8,4,9,9,30,247.0,65,0
28,8,5,9,9,31,278.0,65,0
29,9,5,9,10,33,311.0,64,0
30,10,5,9,10,34,345.0,67,0
31,10,3,9,10,32,369.0,66,0
32,11,3,9,10,33,402.0,66,0
33,12,3,9,10,34,436.0,66,0
34,12,3,10,10,35,471.0,68,1
35,11,5,10,10,36,489.0,68,1
36,11,5,10,10,36,507.0,68,1
37,11,5,8,8,32,413.0,70,2
38,10,6,6,6,28,324.0,69,2
39,7,5,4,4,20,208.0,71,2
40,6,5,2,2,15,128.0,71,2
41,6,6,0,0,12,57.0,72,2
42,5,6,0,0,11,39.0,71,2
43,7,8,0,1,16,55.0,73,2
44,8,9,0,2,19,71.0,73,2
45,10,10,0,3,23,92.0,72,2
46,11,11,0,3,25,115.0,73,2
47,11,11,0,3,25,139.0,72,2
48,12,14,0,4,30,169.0,74,2
49,13,15,0,4,32,201.0,74,2
50,14,15,0,4,33,234.0,74,2
