scenario,strategy,seed,exp_id,avg_waiting_s,avg_travel_time_s,throughput_veh,avg_queue_veh,max_queue_veh,avg_speed_mps,teleports,base_state,base_state_sha1,model_sha1,run_key
event_surge,ppo,2,event_surge__ppo__s2,39.62204724409449,127.24094488188976,1270.0,28.712222222222223,45.0,3.2447932851335315,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,1deb278dea9e8e4c
lane_closure,actuated,0,lane_closure__actuated__s0,32.98557692307692,74.46794871794872,1248.0,24.371666666666666,46.0,7.630335248714318,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,2206af3d9575d33b
lane_closure,actuated,1,lane_closure__actuated__s1,34.143775100401605,74.4417670682731,1245.0,25.269444444444446,49.0,7.8256516029046335,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,d2df70dace342eea
lane_closure,actuated,2,lane_closure__actuated__s2,31.78993610223642,72.81629392971246,1252.0,24.364444444444445,45.0,7.500746006802228,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,0a78400f10d6128a
lane_closure,dqn,0,lane_closure__dqn__s0,29.076521739130435,97.89217391304348,1150.0,18.863888888888887,40.0,4.081854385017622,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,dcb8ef1eb09b7fc6
lane_closure,dqn,1,lane_closure__dqn__s1,28.826839826839826,97.83376623376624,1155.0,18.610555555555557,42.0,4.173319924503101,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,154a159fa7a77f1f
lane_closure,dqn,2,lane_closure__dqn__s2,29.096605744125327,97.72584856396867,1149.0,19.06833333333333,41.0,4.089267971761398,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,6d83903db5df6869
lane_closure,fixed,0,lane_closure__fixed__s0,60.16391752577319,107.48350515463918,970.0,36.59777777777778,66.0,4.67264759250047,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,775de4a7fb21d3aa
lane_closure,fixed,1,lane_closure__fixed__s1,58.93619246861925,106.47384937238493,956.0,36.56055555555555,66.0,4.733025010474915,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,f2e8612da4297dc6
lane_closure,fixed,2,lane_closure__fixed__s2,60.592901878914404,109.0741127348643,958.0,36.53722222222222,66.0,4.653722896612966,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,1e7879634ade455d
lane_closure,ppo,0,lane_closure__ppo__s0,28.490582959641255,100.52645739910314,1115.0,17.934444444444445,38.0,3.9075589548189975,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,d9151abb0d0bcaed
lane_closure,ppo,1,lane_closure__ppo__s1,29.24551971326165,101.26433691756273,1116.0,18.28611111111111,40.0,3.8998669105052945,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,cbfb98443d04c5f4
lane_closure,ppo,2,lane_closure__ppo__s2,29.401268115942027,101.79257246376811,1104.0,18.217777777777776,42.0,3.918537745955581,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,a898d8f0e0b99fc7
morning_peak,actuated,0,morning_peak__actuated__s0,44.448763250883395,85.6148409893993,1415.0,40.70666666666666,73.0,5.741896285205411,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,a26a3693a860a96b
morning_peak,actuated,1,morning_peak__actuated__s1,43.0645390070922,84.20780141843971,1410.0,40.04055555555556,72.0,5.731517059627845,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,1e12f1fb51615082
morning_peak,actuated,2,morning_peak__actuated__s2,47.67448680351906,88.30938416422288,1364.0,42.08611111111111,72.0,5.681193611729848,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,3b331c62c930493e
morning_peak,dqn,0,morning_peak__dqn__s0,27.09234234234234,93.4421921921922,1332.0,20.11611111111111,40.0,4.381533411640792,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,473b348590b09f3c
morning_peak,dqn,1,morning_peak__dqn__s1,26.122859270290395,91.37379002233804,1343.0,19.93,38.0,4.472515589376193,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,dccadc5f552a174e
